Threshold,Cow,Pooling.method,Primer,Cooperia oncophora,Cooperia punctata,Haemonchus contortus,Haemonchus placei,Oesophagostomum radiatum,Ostertagia ostertagi,Trichostrongylus axei
All reads,C15,P12,NEMA2,0,0.001363744,0.002504836,0.611847873,0.311100597,0.034177092,0.039005859
All reads,C15,P13,NEMA2,0.002126716,0.001917958,0.002870414,0.605839987,0.31410156,0.031796357,0.041347007
All reads,C15,P14,NEMA2,0.002137593,0,0.002885095,0.608938547,0.31252131,0.031958979,0.041558476
All reads,C15,P15,NEMA2,0.001936096,0.001961405,0.002290414,0.596064537,0.324770642,0.033356533,0.039620373
All reads,C15,P16,NEMA2,0,0,0.00221405,0.599371413,0.326432452,0.032943542,0.039038542
All reads,C16,P1,NEMA2,0.02020153,0.018016268,0,0.913657885,0.018404759,0.017142163,0.012577395
All reads,C16,P2,NEMA2,0.021362443,0.019870112,0.000386901,0.908774354,0.020975542,0.015945834,0.012684814
All reads,C16,P3,NEMA2,0.022974795,0.02001867,0.000207447,0.903692563,0.020926252,0.019837154,0.012343118
All reads,C16,P4,NEMA2,0.019641312,0.018295028,0.000649101,0.910616405,0.020602943,0.017886335,0.012308876
All reads,C16,P5,NEMA2,0.01875298,0.0178789,7.94618E-05,0.911055782,0.021507655,0.018700005,0.012025216
All reads,C16,P6,NEMA2,0.01997911,0.019684512,0.000455288,0.916227001,0.015774391,0.01738129,0.010498406
All reads,C16,P7,NEMA2,0.019939687,0.017963916,0.000181979,0.9146519,0.017002028,0.016300109,0.013960381
All reads,C16,P8,NEMA2,0.021486363,0.019260959,0.000189763,0.908818811,0.020045888,0.017665223,0.012532993
All reads,C16,P9,NEMA2,0.021496932,0.018968389,0,0.909265859,0.020055749,0.017673913,0.012539158
All reads,C16,P10,NEMA2,0.021536706,0.017620155,0,0.910948186,0.019625982,0.017706613,0.012562358
All reads,C16,P11,NEMA2,0.020744475,0.018883288,0.000180949,0.911373918,0.019607083,0.016582655,0.012627633
All reads,C16,P12,NEMA2,0.020783425,0.017533182,0,0.913085141,0.019333118,0.016613791,0.012651343
All reads,C16,P13,NEMA2,0.02154259,0.018984564,0.000100315,0.908838982,0.019624071,0.018445372,0.012464106
